NumChunk,Chunk,CATChunk,Marqueurs,Regles
1,La Ligue,SN,Det:La + N_Prop:Ligue,Det+N_Prop -> SN
2,des champions,SP,P:des + N:champions,P+N -> SP
3,débutera,SV,V:débutera(Fut),V -> SV
4,en mars,SP,P:en + N_Prop:mars,P+N_Prop -> SP
5,pour laisser,SV,P:pour + Vinf:laisser,P+Vinf -> SV
6,le temps,SN,Det:le + N:temps,Det+N -> SN
7,aux clubs,SP,P:aux + N:clubs,P+N -> SP
8,de comprendre,SV,P:de + Vinf:comprendre,P+Vinf -> SV
9,la nouvelle formule,SN,Det:la + Adj:nouvelle + N:formule,Det+Adj+N -> SN
10,L'UEFA,SN,N_Prop:UEFA,N_Prop -> SN
11,a annoncé,SV,Aux:a + Vpart:annoncé,Aux+Vpart -> SV
12,ce matin,SAdv,Det:ce + N:matin,Det+N -> SAdv
13,que,CSub,CS:que,CS -> CSub
14,la plus célèbre,SAdj,Det:la + Adv:plus + Adj:célèbre,Det+Adv+Adj -> SAdj
15,des Coupes,SP,P:des + N_Prop:Coupes,P+N_Prop -> SP
16,d'Europe,SP,P:d' + N_Prop:Europe,P+N_Prop -> SP
17,ne débuterait pas,SV,Neg:ne + V:débuterait(Cond) + Neg:pas,Neg+V+Neg -> SV
18,en septembre,SP,P:en + N:septembre,P+N -> SP
19,",",PctNF,",",", -> PctNF"
20,comme prévu,SAdv,Adv_Comp:comme + Vpart:prévu,Adv_Comp+Vpart -> SAdv
21,initialement,SAdv,Adv:initialement,Adv -> SAdv
22,",",PctNF,",",", -> PctNF"
23,mais,Coord,CC:mais,CC -> Coord
24,au printemps,SP,P:au + N:printemps,P+N -> SP
25,pour laisser,SV,P:pour + Vinf:laisser,P+Vinf -> SV
26,aux joueurs,SP,P:aux + N:joueurs,P+N -> SP
27,et,Coord,CC:et,CC -> Coord
28,aux dirigeants,SP,P:aux + N:dirigeants,P+N -> SP
29,le temps,SN,Det:le + N:temps,Det+N -> SN
30,de comprendre,SV,P:de + Vinf:comprendre,P+Vinf -> SV
31,la nouvelle formule,SN,Det:la + Adj:nouvelle + N:formule,Det+Adj+N -> SN
32,.,PctF,.,. -> PctF
33,C'est officiel,Phrase,ProS:C' + Mod:est + Adj:officiel,ProS+Mod+Adj -> Phrase
34,.,PctF,.,. -> PctF
35,Chaque membre,SN,Det:Chaque + N:membre,Det+N -> SN
36,des clubs européens,SP,P:des + N:clubs + Adj:européens,P+N+Adj -> SP
37,engagés,SV,Vpart:engagés,Vpart -> SV
38,en Ligue,SP,P:en + N_Prop:Ligue,P+N_Prop -> SP
39,des champions,SP,P:des + N:champions,P+N -> SP
40,suivra,SV,V:suivra(Fut),V -> SV
41,une formation,SN,Det:une + N:formation,Det+N -> SN
42,de six mois,SP,P:de + Num:six + N:mois,P+Num+N -> SP
43,à partir,SAdv,P:à + Vinf:partir,P+Vinf -> SAdv
44,du premier septembre,SP,P:du + Adj:premier + N:septembre,P+Adj+N -> SP
45,pour assimiler,SV,P:pour + Vinf:assimiler,P+Vinf -> SV
46,toutes les règles,SN,Det:toutes + Det:les + N:règles,Det+Det+N -> SN
47,de la nouvelle compétition,SP,P:de + Det:la + Adj:nouvelle + N:compétition,P+Det+Adj+N -> SP
48,.,PctF,.,. -> PctF
49,Pour cela,SP,P:Pour + Pro:cela,P+Pro -> SP
50,",",PctNF,",",", -> PctNF"
51,les joueurs,SN,Det:les + N:joueurs,Det+N -> SN
52,et,Coord,CC:et,CC -> Coord
53,les dirigeants,SN,Det:les + N:dirigeants,Det+N -> SN
54,devront,SV,Mod_V:devront,Mod_V -> SV
55,se rendre,SV,Pref:se + Vinf:rendre,Pref+Vinf -> SV
